submission_id,assignment_id,assignee,sku,lot_number,location,pallet_id,counted_qty,expected_qty,variance,variance_flag,timestamp,note,issue_type,actual_pallet_id,actual_lot_number
CCS-20251028-101107-0B16F4,CC-20251028-082745-D4B52A,Carlos,G1HCS000484,9063523,I020,8304177220,15,15,0,Match,10/28/2025 10:11,,,,
CCS-20251028-101745-5000C1,CC-20251028-082745-1DCFC6,Carlos,10001610,9063747,C058,8304176171,15,15,0,Match,10/28/2025 10:17,Corner dent but not damaged. Carton 063.,,,
CCS-20251028-101830-D61550,CC-20251028-082745-1F3C2C,Carlos,10001610,9063895,D061,8304176894,15,15,0,Match,10/28/2025 10:18,,,,
CCS-20251028-101859-AAE9E9,CC-20251028-082650-7AAB6C,Carlos,G0HCS000994,9063581,C056,8304173781,15,15,0,Match,10/28/2025 10:18,,,,
CCS-20251028-101925-92325D,CC-20251028-082745-345BDC,Carlos,G0HCS001698,9063028,D054,8304183602,15,15,0,Match,10/28/2025 10:19,,,,
CCS-20251028-102028-F34F14,CC-20251028-082745-536763,Carlos,G1HCS000484,9063523,D053,8304177361,15,15,0,Match,10/28/2025 10:20,,,,
CCS-20251028-102046-2DB3B9,CC-20251028-082650-A1D786,Carlos,G0HCS000994,9063581,C051,8304173899,15,15,0,Match,10/28/2025 10:20,,,,
CCS-20251028-102100-9EBD84,CC-20251028-082745-7C6E9A,Carlos,G1HCS000484,9063523,C049,8304177505,15,15,0,Match,10/28/2025 10:21,,,,
CCS-20251028-102112-433C47,CC-20251028-082745-F66BC6,Carlos,10001610,9063895,C048,8304176861,15,15,0,Match,10/28/2025 10:21,,,,
CCS-20251028-102204-D15BC3,CC-20251028-082650-4A9B38,Carlos,G0HCS000994,9063581,C039,8304173827,15,15,0,Match,10/28/2025 10:22,No damages,,,
CCS-20251028-102252-0FF980,CC-20251028-082745-84F018,Carlos,10001610,9063895,C034,8304176842,15,15,0,Match,10/28/2025 10:22,,,,
CCS-20251028-102344-DDD8AF,CC-20251028-082745-F02958,Carlos,10001610,9063896,C032,8304176106,15,15,0,Match,10/28/2025 10:23,,,,
CCS-20251028-102422-068DF5,CC-20251028-082745-B0D3A0,Carlos,G1HCS000484,9063523,C027,8304177785,15,15,0,Match,10/28/2025 10:24,No damages,,,
CCS-20251028-102444-240438,CC-20251028-082745-AA1A50,Carlos,G0HCS000994,9063580,C024,8304173581,15,15,0,Match,10/28/2025 10:24,,,,
CCS-20251028-102503-319E2C,CC-20251028-082650-2A10AF,Carlos,G0HCS000994,9063555,C024,8304173574,15,15,0,Match,10/28/2025 10:25,,,,
CCS-20251028-102558-3602E4,CC-20251028-082745-46395C,Carlos,G0HCS001698,9063884,D020,8304175649,15,15,0,Match,10/28/2025 10:25,No damages,,,
CCS-20251028-102654-77CC9A,CC-20251028-082745-FDCE66,Carlos,G0HCS001698,9063884,D019,8304175775,15,15,0,Match,10/28/2025 10:26,No damages,,,
CCS-20251028-102729-85859C,CC-20251028-082650-0719B6,Carlos,G1HCS000484,9063521,C016,8304176642,15,15,0,Match,10/28/2025 10:27,,,,
CCS-20251028-102747-2E3D6B,CC-20251028-082745-15A1E8,Carlos,10001610,9063747,D013,8304176290,15,15,0,Match,10/28/2025 10:27,,,,
CCS-20251028-102833-5516EA,CC-20251028-082409-1D226A,Carlos,10000263,9063731,D008,8304183735,8,8,0,Match,10/28/2025 10:28,No damages,,,
CCS-20251028-102903-C34FF5,CC-20251028-082745-8DCAEB,Carlos,G1HCS000484,9063523,D003,8304177649,15,15,0,Match,10/28/2025 10:29,,,,
CCS-20251028-102951-AED118,CC-20251028-082409-C3CB04,Carlos,10000263,9063731,E003,8304183873,15,15,0,Match,10/28/2025 10:29,,,,
CCS-20251028-103044-ECD4FB,CC-20251028-082508-E993C2,Carlos,G0HCS001698,9063217,F001,8304175509,15,15,0,Match,10/28/2025 10:30,,,,
CCS-20251028-103126-AD856F,CC-20251028-082409-92718C,Carlos,10000263,9063694,E007,8304183858,15,15,0,Match,10/28/2025 10:31,,,,
CCS-20251028-103211-7FB481,CC-20251028-082745-2E9B6F,Carlos,G0HCS001698,9063884,E020,8304175767,15,15,0,Match,10/28/2025 10:32,,,,
CCS-20251028-103311-55A434,CC-20251028-082508-43DE96,Carlos,G0HCS001698,9063217,E035,8304175764,15,15,0,Match,10/28/2025 10:33,,,,
CCS-20251028-103335-CF9B6A,CC-20251028-082650-CDC469,Carlos,G0HCS000994,9063581,E037,8304173673,15,14,1,Over,10/28/2025 10:33,,,,
CCS-20251028-103933-DB4938,CC-20251028-082745-1E35CC,Carlos,G1HCS000484,9063523,E041,8304177582,15,15,0,Match,10/28/2025 10:39,,,,
CCS-20251028-103956-4D639E,CC-20251028-082745-29A08E,Carlos,G0HCS000994,9063580,F043,8304173313,15,15,0,Match,10/28/2025 10:39,,,,
CCS-20251028-104025-1B8209,CC-20251028-082745-10BAAB,Carlos,10001610,9063747,E046,8304176292,15,15,0,Match,10/28/2025 10:40,,,,
CCS-20251028-104054-150AC6,CC-20251028-082745-764268,Carlos,10001610,9063747,F047,8304176269,15,15,0,Match,10/28/2025 10:40,,,,
CCS-20251028-104116-7FA2A3,CC-20251028-082650-3C972F,Carlos,G1HCS000484,9063520,F048,8304183663,15,15,0,Match,10/28/2025 10:41,,,,
CCS-20251028-104135-C06CA6,CC-20251028-082745-AF4D89,Carlos,10001610,9063895,E048,8304176776,15,15,0,Match,10/28/2025 10:41,,,,
CCS-20251028-104155-05A526,CC-20251028-082650-5D7612,Carlos,G0HCS000994,9063555,E051,8304173443,15,15,0,Match,10/28/2025 10:41,,,,
CCS-20251028-104337-0B57F9,CC-20251028-082745-215828,Carlos,G0HCS001698,9063028,E051,8304183669,15,15,0,Match,10/28/2025 10:43,,,,
CCS-20251028-104354-EA81C9,CC-20251028-082745-94CFE8,Carlos,G0HCS000994,9063580,E052,8304173436,15,15,0,Match,10/28/2025 10:43,,,,
CCS-20251028-104407-66E177,CC-20251028-082650-771DCE,Carlos,G0HCS000994,9063555,E053,8304173437,15,15,0,Match,10/28/2025 10:44,,,,
CCS-20251028-104443-16FEF8,CC-20251028-082650-D6422B,Carlos,G0HCS000994,9063581,E055,8304173969,15,15,0,Match,10/28/2025 10:44,,,,
CCS-20251028-104458-240467,CC-20251028-082745-8D3BA4,Carlos,G0HCS001698,9063884,F053,8304175653,15,15,0,Match,10/28/2025 10:44,,,,
CCS-20251028-104516-4FE226,CC-20251028-082409-23F80E,Carlos,10000263,9063694,E056,8304183737,15,15,0,Match,10/28/2025 10:45,,,,
CCS-20251028-104547-A1844F,CC-20251028-082650-F00C4B,Carlos,G1HCS000484,9063522,E058,8304176339,6,6,0,Match,10/28/2025 10:45,No damages,,,
CCS-20251028-105328-AB22FC,CC-20251028-074110-571824,Kevin,10000263,9063695,E011,8304176673,0,15,-15,Short,10/28/2025 10:53,missing,,,
CCS-20251028-110559-5E87CE,CC-20251028-074110-221245,Kevin,10000263,9063731,F056,8304183721,15,15,0,Match,10/28/2025 11:05,,,,
CCS-20251028-110627-EED9A6,CC-20251028-074110-221245,Kevin,10000263,9063731,F056,8304183721,15,15,0,Match,10/28/2025 11:06,,,,
CCS-20251028-110837-AACE5C,CC-20251028-074111-BF1E65,Kevin,10000263,9063731,TUN12008,8304183979,15,15,0,Match,10/28/2025 11:08,,,,
CCS-20251028-125325-E22B6D,CC-20251028-082650-5C93C1,Carlos,G0HCS000994,9063555,G060,8304173717,9,9,0,Match,10/28/2025 12:53,,,,
CCS-20251028-125356-99C7C8,CC-20251028-082650-6CAC3F,Carlos,G0HCS000994,9063581,H052,8304173710,15,15,0,Match,10/28/2025 12:53,,,,
CCS-20251028-125430-3C039E,CC-20251028-082650-E39F9A,Carlos,G0HCS000994,9063581,H034,8304175036,15,15,0,Match,10/28/2025 12:54,,,,
CCS-20251028-125452-0A0A6C,CC-20251028-082745-082404,Carlos,10001610,9063895,H031,8304176906,15,15,0,Match,10/28/2025 12:54,,,,
CCS-20251028-125523-9D76B8,CC-20251028-082745-DFF787,Carlos,10001610,9063747,H023,8304176249,15,15,0,Match,10/28/2025 12:55,,,,
CCS-20251028-125940-2526DE,CC-20251028-082745-20C2F8,Carlos,G0HCS001698,9063028,H017,8304183405,15,15,0,Match,10/28/2025 12:59,,,,
CCS-20251028-130146-BFC5BA,CC-20251028-082745-82901E,Carlos,G4LLC000024,9062693,TUN12204,JTL12812,15,15,0,Match,10/28/2025 13:01,,,,
CCS-20251028-130228-5FBD6D,CC-20251028-082650-BB7704,Carlos,G1HCS000484,9063522,TUN11408,8304176379,15,15,0,Match,10/28/2025 13:02,,,,
CCS-20251028-130305-1BEA66,CC-20251028-082650-EB41FD,Carlos,G1HCS000484,9063522,TUN11404,8304176233,15,15,0,Match,10/28/2025 13:03,,,,
